N  종목명	현재가	전일비	등락률	액면가	시가총액	상장주식수	외국인비율	거래량	PER	ROE
1,삼성전자,"77,700",400,+0.52%,100,"4,638,521","5,969,783",51.98,"11,615,602",16.36,9.99,
2,SK하이닉스,"104,500",500,+0.48%,"5,000","760,762","728,002",46.97,"1,795,454",13.07,9.53,
3,NAVER,"403,000","2,500",-0.62%,100,"661,981","164,263",56.61,"453,717",4.01,15.22,
4,삼성바이오로직스,"920,000","2,000",-0.22%,"2,500","608,718","66,165",10.62,"50,851",181.82,N/A,
5,삼성전자우,"72,000",300,+0.42%,100,"592,478","822,887",75.24,"1,472,610",15.16,N/A,
6,LG화학,"770,000","9,000",+1.18%,"5,000","543,561","70,592",46.51,"233,249",20.74,2.93,
7,카카오,"120,000",500,+0.42%,100,"533,991","444,992",30.54,"3,620,648",111.84,2.70,
8,삼성SDI,"735,000","9,000",+1.24%,"5,000","505,419","68,765",44.93,"291,125",54.46,4.54,
9,현대차,"204,000","3,000",-1.45%,"5,000","435,883","213,668",28.64,"579,063",14.78,2.04,
10,셀트리온,"267,500","7,000",-2.55%,"1,000","368,975","137,935",20.89,"501,246",62.72,16.68,
11,기아,"82,100",500,-0.61%,"5,000","332,803","405,363",34.61,"936,440",9.58,5.05,
12,카카오뱅크,"69,700",700,+1.01%,"5,000","331,145","475,100",5.45,"1,303,412",225.57,5.08,
13,POSCO,"340,000","5,000",-1.45%,"5,000","296,435","87,187",55.30,"236,568",7.69,3.61,
14,현대모비스,"259,000","1,000",-0.38%,"5,000","245,514","94,793",35.15,"258,648",11.11,4.66,
15,크래프톤,"498,000","5,000",+1.01%,100,"243,778","48,951",6.27,"203,104",42.88,61.86,
16,삼성물산,"127,500",500,-0.39%,100,"238,281","186,887",15.12,"215,118",14.54,3.81,
17,SK이노베이션,"251,500","2,500",+1.00%,"5,000","232,551","92,466",23.52,"364,822",-52.10,-13.58,
18,SK텔레콤,"319,000","10,500",+3.40%,500,"229,872","72,060",44.32,"410,766",12.11,6.44,
19,LG전자,"138,500","1,000",-0.72%,"5,000","226,652","163,648",30.52,"516,454",16.76,13.23,
20,KB금융,"52,900",100,-0.19%,"5,000","219,962","415,808",67.62,"1,012,699",5.21,8.53,
21,SK바이오사이언스,"283,000","8,500",+3.10%,500,"216,495","76,500",5.67,"1,183,177",137.85,13.25,
22,LG생활건강,"1,347,000","8,000",+0.60%,"5,000","210,377","15,618",45.15,"19,654",28.28,17.92,
23,신한지주,"39,550",100,-0.25%,"5,000","204,315","516,600",60.52,"988,068",5.12,8.20,
24,SK,"266,500","2,500",-0.93%,200,"187,510","70,360",19.79,"188,628",17.20,1.11,
25,HMM,"38,400",350,+0.92%,"5,000","155,671","405,392",9.71,"3,065,314",24.32,8.93,
26,한국전력,"23,850",50,+0.21%,"5,000","153,108","641,964",15.02,"1,441,361",12.84,2.91,
27,LG,"95,700",500,+0.53%,"5,000","150,537","157,301",33.52,"129,831",6.00,7.50,
28,SK아이이테크놀로지,"208,500","8,500",-3.92%,"1,000","148,655","71,298",9.61,"425,877",137.08,11.00,
29,삼성생명,"72,400",0,0.00%,500,"144,800","200,000",12.95,"178,439",8.27,3.53,
30,삼성전기,"182,000","3,500",+1.96%,"5,000","135,943","74,694",33.00,"418,317",15.87,10.92,
31,하나금융지주,"44,650",200,-0.45%,"5,000","134,058","300,242",68.13,"656,735",4.40,8.96,
32,포스코케미칼,"171,000","9,000",+5.56%,500,"132,462","77,463",8.05,"1,482,900",123.55,2.96,
33,엔씨소프트,"583,000","13,000",-2.18%,500,"127,992","21,954",45.88,"153,579",31.29,20.83,
34,삼성에스디에스,"164,500",500,+0.30%,500,"127,286","77,378",11.57,"64,926",19.76,6.71,
35,S-Oil,"109,500","4,500",+4.29%,"2,500","123,278","112,583",78.18,"503,890",14.08,-13.07,
36,대한항공,"34,250",0,0.00%,"5,000","119,129","347,821",12.35,"3,875,862",17.83,-7.22,
37,KT&G,"81,200",100,+0.12%,"5,000","111,482","137,292",36.93,"239,465",10.07,13.22,
38,삼성화재,"230,000","1,500",+0.66%,500,"108,962","47,375",48.80,"71,100",10.89,4.96,
39,하이브,"278,000","10,000",+3.73%,500,"108,561","39,051",16.46,"198,116",98.90,12.52,
40,아모레퍼시픽,"184,000",500,-0.27%,500,"107,627","58,493",32.07,"162,984",85.38,0.78,
41,두산중공업,"20,650",100,+0.49%,"5,000","106,672","516,572",9.43,"2,783,099",-49.05,-37.20,
42,넷마블,"119,000","1,000",-0.83%,100,"102,285","85,954",22.67,"102,425",35.75,6.35,
43,고려아연,"511,000","1,000",-0.20%,"5,000","96,426","18,870",19.59,"40,277",13.33,8.37,
44,롯데케미칼,"257,500","1,500",+0.59%,"5,000","88,259","34,275",26.67,"93,803",7.38,1.22,
45,한온시스템,"16,200",0,0.00%,100,"86,476","533,800",18.12,"458,333",29.72,5.09,
46,현대중공업,"97,000","2,200",-2.22%,"5,000","86,110","88,773",1.38,"652,204",-8.76,-7.86,
47,KT,"32,550",100,+0.31%,"5,000","84,992","261,112",44.21,"522,520",9.29,4.76,
48,SK바이오팜,"108,000","1,000",+0.93%,500,"84,578","78,313",6.39,"118,743",-142.86,-135.18,
49,우리금융지주,"11,250",100,+0.90%,"5,000","81,907","728,061",28.50,"1,569,714",3.93,5.87,
50,한화솔루션,"41,900","1,150",+2.82%,"5,000","80,146","191,278",17.76,"1,061,878",10.39,5.30,
